YEAR;NEIGH_BCN;POP_EMP;WOR_LOWSK;POP_PS_EDU;POP_Y_WSTU;POP_INC_LM;AVER_INC
2018;40;66.5;6.3;19.9;15.7;9;14517.8
2018;41;70.3;4.3;13.7;14.2;6.6;17087.2
2018;42;73.1;8.9;14.9;27.1;9.8;14136
2018;43;67.2;8.5;17.6;19.5;9;15033.5
2018;44;67.5;9.2;16.6;21.1;11.6;14236.6
2018;45;64.8;11.5;20.5;26.2;14.8;12804.7
2018;46;62.4;17.3;22.4;33.5;20.1;10674.5
2018;47;52.7;20.4;21.1;44.5;7.6;10044.1
2018;48;67.9;9.1;19.5;22.1;6.9;14440.6
2018;49;64.9;14.8;21.3;27.1;4;13341.7
2018;50;60.1;22.5;22.6;43.5;20;9706.1
2018;51;62.4;17.4;22.6;37.4;17.7;10579.8
2018;52;66.1;14.4;22.6;32.5;14.3;11698.7
2018;53;57.3;22.3;20.8;48.9;19.6;9101.8
2018;54;54.3;25.5;18.4;50.9;15.8;8580.9
2018;55;55.2;26.3;24;51;28.8;8121.5
2018;56;55.5;20.4;23.3;58.5;11.2;9236
2018;57;57.8;22.6;22.4;46.6;27.1;9036.5
2018;58;54;23.6;21;51.9;11.8;9097.7
2018;59;62.3;15.2;19.9;42.1;13;11557
2018;60;70;6.5;14.1;17;6.1;15639.1
2018;61;67.1;8.3;14.7;17.1;10.5;14554.8
2018;62;68.7;8.4;15.4;19;11.1;14537
2018;63;67.8;7.9;13.8;16.6;11.3;14955.2
2018;64;67.4;6.6;12.8;15.2;11.7;15383.6
2018;65;67.3;7.2;12.3;16.7;10.3;15146.1
2018;66;64;5.1;11.7;14.8;12.3;15671.8
2018;67;64.4;2;4.7;7;6;23034
2018;68;68.5;5.1;12.3;15.8;8.6;15959.5
2018;69;67.5;3.7;11.4;13.8;10.6;18194.1
2018;70;56.2;18.1;23.5;42.7;25.6;9867.6
2018;71;67.6;7.8;14.3;21.3;9.7;14421.9
2018;72;66.3;8.9;18.6;22.2;9.9;13805.7
2018;73;63.9;11.8;20.9;28.1;10.7;12473.2
2019;01;56.6;14;17.7;33.2;39.7;9741.5
2019;02;48.7;10.3;15.9;28.1;34.2;13076.2
2019;03;58.2;9.8;15.9;19;18.2;12569.8
2019;04;58.8;7.7;11;14.8;20.3;13831.4
2019;05;64.5;5.3;9.7;12.3;14.6;17554.3
2019;06;66.3;5.6;10.7;11.4;13.6;17090.1
2019;07;64.4;3.2;6.5;7.7;10;22341.5
2019;08;63.8;3.6;7.2;8.9;12.5;20482
2019;09;66.1;4.7;8.4;9.7;12.3;19046.9
2019;10;66.4;5.7;11.1;13.9;14;17039.8
2019;11;62.3;10.5;14.9;24.9;22;12603.6
2019;12;53.3;20.2;28.6;54.9;9.6;10411
2019;13;64.1;12.4;17.1;30;14.3;12935
2019;14;65;6.9;13.2;14.4;14;15626.6
2019;15;64.3;7.7;12.6;19.2;17.1;14983.3
2019;16;67.8;7.5;15.1;18.4;11.3;15289.6
2019;17;66.5;9.2;14.8;18.8;15;14752.3
2019;18;66.3;7;13.2;18.2;14.7;16435.1
2019;19;67.2;3.6;8.4;8;7.8;21688.5
2019;20;66.5;4.2;10.5;9;8.4;19837.3
2019;21;61.9;2;4.8;7.6;8.6;29224.1
2019;22;65.4;4.2;7.4;15.8;4.4;21640.7
2019;23;66.9;2.3;5.9;6.9;5.3;26756.4
2019;24;67.4;1.8;3.8;5.5;4;31058.6
2019;25;66.7;2.7;4.7;7.2;6.6;27355.9
2019;26;66.9;2.4;4.2;5.3;5.8;26944.6
2019;27;69;2.7;4.8;6.1;6.8;22196.6
2019;28;69.8;4.6;8.9;11.3;8.1;19157.1
2019;29;67.9;7.1;11.6;16;10;15717.3
2019;30;68.5;4.3;9.3;10.5;8.2;19047.5
2019;31;67.7;3.9;9;9.2;9;17736.2
2019;32;68.2;4;9.2;10.3;8.8;18955.7
2019;33;68.4;5.4;12.1;12.5;9.8;16599.6
2019;34;67.2;7.7;13.9;17.4;10.4;15098.9
2019;35;68.9;7.1;12.3;15;11.3;15911.7
2019;36;71.6;4.8;10.8;12.2;4.3;18585.1
2019;37;66.5;13.5;20.5;28.6;13.7;11865.2
2019;38;67.7;10.6;18;22.2;12.4;12878.9
2019;39;67.3;9.5;18.9;22.5;13.6;13641.1
2019;40;68.4;5.6;17.8;14.9;9.9;15029.6
2019;41;70.6;4.5;13.2;14;6.8;17526.2
2019;42;70.1;8;14;28.7;11.7;14228
2019;43;66.7;8.3;16.8;19.1;11;15431.7
2019;44;68;9;15.8;20.5;12.8;14772.1
2019;45;62.9;11.6;19.8;27.9;17.9;13193.5
2019;46;64;16.8;20.9;31.2;21.2;11056.5
2019;47;53.3;19.2;20.1;44.2;8.8;10402.5
2019;48;68.4;9;18.8;21.3;8.2;14829
2019;49;65.5;14.1;20.6;27.1;5.1;13963.4
2019;50;60.6;22.2;21.4;42.4;21.5;10132.3
2019;51;62.8;17;21.4;35.8;19.7;10919.7
2019;52;66.7;14.2;21.3;29.8;14.9;12207.6
2019;53;57.9;21;19.6;47.1;21.5;9629.1
2019;54;54.6;23;18.3;50;16;9078.4
2019;55;55.9;25.7;23.1;48.8;30.2;8492.2
2019;56;56.4;20.8;23;53.9;12.7;9521
2019;57;58.7;22.1;21.1;44;29;9412.2
2019;58;55;22;20.3;49.4;12.9;9394.1
2019;59;61.9;15.4;19.1;40.1;15.7;12008.8
2019;60;70.8;6.3;13.4;16.2;6.4;16146.7
2019;61;68.3;8.3;13.9;17.1;11.3;15056
2019;62;69.1;8.1;14.3;18.5;12.2;15103.8
2019;63;68.9;7.7;13.1;16.2;11.9;15426.2
2019;64;67.8;6.4;12.1;14.6;12.5;15782.5
2019;65;67.8;6.9;11.7;16;10.7;15552.4
2019;66;65.4;5;11.1;14.1;12.4;16260.1
2019;67;65.5;1.9;4.5;6.7;6.5;23564.3
2019;68;69.8;4.7;11.5;14.7;9.3;16760.6
2019;69;68.3;3.5;10.7;13.9;10.6;18982.4
2019;70;55;17.5;22.5;42.3;28.8;10318.3
2019;71;68.4;7.5;13.6;19.7;10.8;14905.9
2019;72;67;8.4;17.6;21.3;10.7;14359.9
2019;73;64.8;11.6;20.2;27.2;11.6;13036.9
2020;01;52.9;13.4;15.8;30.4;40.5;9323.8
2020;02;40.7;10.2;18;34.6;42;12895.9
2020;03;55.4;9.3;14.2;17.2;19.8;12297
2020;04;54.8;7.3;9.9;13.6;21.6;13480.2
2020;05;61;4.9;8.9;11.2;16.9;17367.8
2020;06;63.6;5.2;9.9;10.3;14.9;17017.1
2020;07;61.5;2.7;6.2;7.6;10.9;21540.2
2020;08;61.2;3.6;6.6;7.9;14;20484.4
2020;09;63.6;4.4;7.7;8.3;13.2;19126.6
2020;10;63.6;5.4;10.3;12.7;15.3;16900.1
2020;11;59.4;9.7;13.5;21.4;22.5;12512.9
2020;12;50.7;20.2;24.8;50.4;12.4;11159
2020;13;61.7;11.6;16;27.2;15.2;12969.8
2020;14;62.9;6.3;12.7;13.8;15;15828.3
2020;15;61.8;6.9;11.6;17.4;18;14891.2
2020;16;65.7;7.1;13.9;16.8;11.9;15350.5
2020;17;62.8;8.7;13.9;17.9;16.7;14778.8
2020;18;62.1;6.6;12.7;19.2;17.9;16494.2
2020;19;65.2;3.3;8;7.8;8.9;21684.2
2020;20;65.1;3.9;10;7.9;9.5;19582.8
2020;21;60.1;1.6;4.6;6.4;9.2;28830.3
2020;22;64.3;3.7;7.1;14.7;4.6;19833.5
2020;23;65.6;2;5.6;5.9;5.7;25734.9
